word
adere
anvugu
akete
apoktu
askolte
avadu
bokente
derartu
ediste
enkalu
enveke
erfatu
favate
fentimu
kaltane
kanvidu
kankere
kasfinu
kavite
larantu
morvide
mubalu
mugale
nevetu
nukene
pafinu
pikide
pakanu
pentave
renapu
sankade
saveru
sevade
takuru
tanibe
tevonu
tuvene
vantimu
venkere
vortulu
abene
akumu
akupe
anadu
arade
averu
befade
buviru
devenu
enkape
enrene
farimu
fenade
fevadu
kavete
kaviru
kokare
koritu
manave
maraku
marive
masaku
nedere
neretu
nidene
okomu
pakase
pamabe
pekatu
rinidu
romide
selanu
semate
sipugu
soriku
sovede
tegade
temanu
tepade
talade
tovere
travimu
varigu
vegadu
