Rank	Freq	Keyness	Keyword
1164	5	13.52	проронил
1165	5	0.987	проходят
1166	5	8.712	прочее
1167	5	8.712	прочим
1168	5	1.954	пытался
1169	5	13.52	пятом
1170	5	2.651	пятый
1171	5	1.41	различные
1172	5	13.52	расписание
1173	5	13.52	ребят
1174	5	13.52	ребёнок
1175	5	13.52	рентген
1176	5	13.52	родителям
1177	5	1.954	русская
1178	5	0.108	русского
1179	5	8.712	русском
1180	5	0.412	самая
1181	5	3.549	самую
1182	5	0.232	своими
1183	5	13.52	своём
1184	5	13.52	сестра
1185	5	13.52	сидела
1186	5	8.712	сидит
1187	5	13.52	скажи
1188	5	4.731	скажу
1189	5	13.52	скайп
1190	5	4.731	складывается
1191	5	8.712	следующая
1192	5	2.651	словами
1193	5	0.412	слышал
1194	5	13.52	снимаешь
1195	5	4.731	стоять
1196	5	4.731	суть
1197	5	13.52	сходить
1198	5	13.52	счёт
1199	5	13.52	твёрдый
1200	5	13.52	театр
1201	5	13.52	Тебе
1202	5	8.712	телефон
1203	5	13.52	тину
1204	5	13.52	толстовка
1205	5	13.52	Только
1206	5	0.66	третьем
1207	5	13.52	увидела
1208	5	4.731	угодно
1209	5	13.52	удобно
1210	5	13.52	удовольствие
1211	5	13.52	умел
1212	5	13.52	уметь
1213	5	8.712	успела
1214	5	13.52	учёба
1215	5	13.52	физике
1216	5	13.52	физику
1217	5	13.52	фильмов
1218	5	13.52	фильмы
1219	5	0.412	хватает
1220	5	13.52	хихи
1221	5	13.52	Хорватии
1222	5	8.712	хорошее
1223	5	8.712	цветы
1224	5	2.651	церковь
1225	5	8.712	человеком
1226	5	13.52	Чем
1227	5	13.52	читает
1228	5	13.52	шестьдесят
1229	5	13.52	штука
1230	5	13.52	щас
1231	5	13.52	Эд
1232	5	13.52	Эх
